"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"25085",25085,0.124045384,0,0,0,0,0,0,"ACorunia"
"1371",1371,0,0,0,0,0,0,0,"Sevilla"
"15287",15287,0.62022692,0,1.192426313,0,0,0.739574899,0,"Zaragoza"
"9278",9278,2.85304383,0,0,0,0,0,0,"Toledo"
"9953",9953,1.302476531,0,0,0,0,0,0,"Valencia"
"15747",15747,0.124045384,0,0,0,0,0,0,"Soria"
"18932",18932,4.620690551,0,0,0,0,0,0,"Girona"
"6855",6855,0.651238266,0,0,0,0,0,0,"Albacete"
"14412",14412,0.31011346,0,0,0,0,0,0,"Guadalajara"
"11789",11789,1.116408455,0,0,0,0,0,0,"Cuenca"
"25658",25658,0.527192882,0,0,0,0,0,0,"Cantabria"
"17863",17863,1.643601337,0,0.397475438,0,0,0.653291161,0,"Girona"
"3891",3891,0.151501979,0,0.794950876,1.108077801,0,0.120436631,0.167875979,"Murcia"
"25980",25980,0.217079422,0.609189807,0,0.554038901,0.132242571,0,0.120270444,"Cantabria"
"20144",20144,0.868317688,0,0,0,0,0,0,"Girona"
"2983",2983,1.023374417,1.218379614,0,0,1.246858528,0,0,"Sevilla"
"23236",23236,1.178431147,0,0,0,0,0,0,"Leon"
"81",81,0.031011346,0,0,0,0,0,0,"Cadiz"
"23836",23836,0.124045384,0,0,0,0,0,0,"Cantabria"
"6829",6829,0.589215574,0,0,0,0,0,0,"Ciudad_Real"
"25321",25321,0.806294996,0,0,0,0,0,0,"Asturias"
"16841",16841,0.372136152,0,0.397475438,0,0,0.14791498,0,"Zaragoza"
"19586",19586,0.403147498,0,2.782328065,0,0,1.121688597,0,"Zaragoza"
"5552",5552,0.248090768,5.482708265,1.192426313,2.770194503,1.360209303,0.29582996,0.687259681,"Badajoz"
"11358",11358,1.457533261,0,0,0,0,0,0,"Cuenca"
"7010",7010,1.643601337,0,0,0,0,0,0,"Albacete"
"209",209,7.132609576,1.218379614,0,0,8.690226105,0,0,"Cadiz"
"11606",11606,3.349225366,0,0,0,0,0,0,"Toledo"
"24936",24936,0.15505673,0,0.397475438,0,0,0.061631242,0,"ACorunia"
"11493",11493,0.279102114,0,0,0,0,0,0,"Cuenca"
"23754",23754,0.248090768,0,1.987377189,0,0,0.493049933,0,"Pontevedra"
"6561",6561,0.961351725,0,0,0,0,0,0,"Albacete"
"7455",7455,0.31011346,0,0,0,0,0,0,"Albacete"
"310",310,0,0,0,0,0,0,0,"Cadiz"
"24595",24595,0.248090768,0,0,0,0,0,0,"Navarre"
"4687",4687,0.248090768,0,0,0,0,0,0,"Murcia"
"6396",6396,0.682249612,0,0,0,0,0,0,"Albacete"
"14704",14704,2.728998446,0,0.794950876,0,0,2.169419705,0,"Segovia"
"1716",1716,0,0,0,0,0,0,0,"Sevilla"
"24232",24232,1.116408455,0.609189807,0,0,0.680104652,0,0,"Navarre"
"10791",10791,0.930340379,0,0.397475438,0,0,0.36978745,0,"Valencia"
"4910",4910,2.108771527,0.609189807,0,0,1.28464212,0,0,"Jaen"
"19494",19494,0.031011346,0,0,0,0,0,0,"Valladolid"
"3494",3494,0.279102114,0,0,0,0,0,0,"Huelva"
"23782",23782,0.093034038,0,0,0,0,0,0,"Leon"
"5492",5492,8.528120145,0,0,0,0,0,0,"Jaen"
"12244",12244,0.930340379,0,0,0,0,0,0,"Cuenca"
"22548",22548,0.527192882,0,0,0.554038901,0,0,0.292085365,"Lugo"
"20958",20958,0.186068076,0,0,0,0,0,0,"Ourense"
"1106",1106,1.209442493,0,0,0,0,0,0,"Almeria"
"22754",22754,0.31011346,0,3.57727894,0.554038901,0,1.109362349,0.17181492,"Pontevedra"
"10021",10021,0.031011346,0,0,0,0,0,0,"Toledo"
"8690",8690,1.085397109,0,0,0,0,0,0,"Ciudad_Real"
"9826",9826,0.744272304,0,0.397475438,0,0,0.29582996,0,"Caceres"
"13599",13599,1.302476531,0,0,0,0,0,0,"Madrid"
"23298",23298,1.147419801,0,0,0,0,0,0,"Alava"
"22515",22515,0.77528365,0,0,0,0,0,0,"Lleida"
"13320",13320,0.868317688,0,0,0,0,0,0,"Guadalajara"
"16751",16751,0.62022692,0,0,0,0,0,0,"Zamora"
